City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
322,Ambilobe,-13.2,49.05,70.77,94,99,3.22,overcast clouds,MG
323,Balaguer,41.7912,0.8109,53.01,87,90,11.5,overcast clouds,ES
324,Longyearbyen,78.2186,15.6401,6.8,61,40,16.11,scattered clouds,SJ
325,Ahipara,-35.1667,173.1667,66.24,61,55,10.65,broken clouds,NZ
326,Halifax,44.6453,-63.5724,37.4,70,29,9.22,scattered clouds,CA
327,Fort Frances,48.5999,-93.4003,34.0,80,90,9.22,overcast clouds,CA
328,North Bend,43.4065,-124.2243,57.0,50,1,16.11,clear sky,US
329,Salalah,17.0151,54.0924,77.0,78,20,4.61,few clouds,OM
330,Ust-Omchug,61.15,149.6333,15.39,77,100,5.01,overcast clouds,RU
331,Richards Bay,-28.783,32.0377,72.27,88,49,8.61,scattered clouds,ZA
332,Port Hardy,50.6996,-127.4199,53.6,62,20,14.97,few clouds,CA
333,Waiuku,-37.25,174.75,68.0,64,100,16.11,light rain,NZ
334,Cap-Aux-Meules,47.3821,-61.8597,33.8,93,9,8.05,clear sky,CA
335,Stokmarknes,68.5646,14.9108,43.0,89,100,7.0,overcast clouds,NO
336,Kolpashevo,58.3131,82.9089,35.56,99,100,6.38,overcast clouds,RU
337,Moose Factory,51.2585,-80.6094,32.0,100,90,8.05,light rain,CA
338,Samarai,-10.6167,150.6667,78.98,88,99,11.45,overcast clouds,PG
339,Kiunga,-6.1219,141.2906,88.97,50,61,3.51,broken clouds,PG
340,Mercedes,-34.6515,-59.4307,62.01,68,0,1.01,clear sky,AR
341,Manokwari,-0.8667,134.0833,83.71,71,99,4.63,overcast clouds,ID
342,Bubaque,11.2833,-15.8333,77.43,80,78,12.75,broken clouds,GW
343,Huangchuan,32.1272,115.0394,56.7,91,100,2.21,overcast clouds,CN
344,Touros,-5.1989,-35.4608,78.8,89,0,4.61,clear sky,BR
345,Wana,32.2989,69.5725,63.21,50,100,1.86,light rain,PK
346,Broken Hill,-31.95,141.4333,62.6,45,95,13.8,overcast clouds,AU
347,Ribeira Grande,38.5167,-28.7,61.68,89,37,7.94,scattered clouds,PT
