City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
146,Mayo,US,57.2,moderate rain,38.8876,-76.5119,Resorts Resource Group International
147,Pacifica,US,59.0,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
148,Hobart,AU,57.2,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
152,Atuona,PF,80.85,few clouds,-9.8,-139.0333,Villa Enata
153,Geraldton,AU,68.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
154,Bonthe,SL,78.75,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
156,Praya,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
157,Yining,CN,61.45,light rain,29.0361,114.5636,Xiushui Hotel
158,Hartselle,US,59.0,light rain,34.4434,-86.9353,Country Cottage-Hartselle
159,Port Alfred,ZA,67.15,broken clouds,-33.5906,26.891,The Halyards Hotel
160,Dicabisagan,PH,84.51,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
161,Cedar City,US,55.4,overcast clouds,37.6775,-113.0619,Hampton Inn Cedar City
163,Maua,BR,63.0,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
165,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
166,Guanica,PR,78.01,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
168,Shambu,ET,56.03,overcast clouds,9.5667,37.1,Wabe Hotel
170,Myitkyina,MM,85.64,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
171,Bowen,AU,80.6,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
172,Puerto Leguizamo,CO,73.0,overcast clouds,-0.1934,-74.7819,la casona de juancho
173,Mareeba,AU,84.99,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
175,Alyangula,AU,86.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
178,Saldanha,ZA,71.6,broken clouds,-33.0117,17.9442,Blue Bay Lodge
180,Maraba,BR,73.02,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
181,Kaitangata,NZ,64.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
184,Shingu,JP,59.0,scattered clouds,33.7333,135.9833,Shingu UI Hotel
186,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
188,Caceres,ES,55.74,overcast clouds,39.522,-6.3748,Ahc Hoteles
189,Cache Creek,CA,71.6,clear sky,50.8101,-121.3246,Canadas Best Value Inn & Suites Cache Creek
190,Gizo,SB,83.86,light rain,-8.103,156.8419,Imagination Island
192,Malacatepec,MX,66.2,broken clouds,18.9333,-98.3,Parque Malta
193,Te Anau,NZ,53.78,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
194,Acapulco,MX,80.6,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
198,Mollendo,PE,66.47,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
199,Burnie,AU,53.1,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
200,Saryozek,KZ,55.85,clear sky,44.3583,77.9753,Gostinitsa
201,Cayenne,GF,82.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
202,Aland,IN,76.28,clear sky,17.5667,76.5667,ui
205,Porto Nacional,BR,75.2,heavy intensity rain,-10.7081,-48.4172,Vila Real Hotel
207,Punta Alta,AR,65.86,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
208,Grajau,BR,75.09,overcast clouds,-5.8194,-46.1386,Hotel Confiança
209,Bengkulu,ID,81.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
211,Tabou,CI,80.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
213,Constitucion,CL,55.71,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
215,Rawson,AR,66.2,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
217,Dingle,PH,87.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
218,Kikwit,CD,68.63,overcast clouds,-5.041,18.8162,Guest L'Amour
219,Russell,US,69.8,overcast clouds,32.3502,-85.1999,Macs
220,Cairns,AU,84.99,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
221,Nicoya,CR,84.2,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
222,Fukue,JP,59.0,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
223,Calama,CL,60.8,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
225,Roma,US,55.4,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
226,Taloqan,AF,62.4,moderate rain,36.7361,69.5345,Saraisang street
227,Nara,JP,57.99,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
228,Flinders,AU,75.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
230,Lazaro Cardenas,MX,75.52,clear sky,17.9583,-102.2,Hotel Quinta Antigua
231,Sechura,PE,73.09,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
232,Esperance,AU,60.8,scattered clouds,-33.8667,121.9,Hospitality Esperance
233,Estelle,US,68.0,overcast clouds,29.8458,-90.1067,Ohio
234,Half Moon Bay,US,64.4,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
236,Mount Gambier,AU,59.0,broken clouds,-37.8333,140.7667,Commodore on the Park
237,Cukai,MY,78.8,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
238,Aljezur,PT,59.83,broken clouds,37.3191,-8.8033,Amazigh Hostel
240,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
